Company,Sector,Year,Revenue (Cr),Net Profit (Cr),EBITDA Margin (%),Debt/Equity,EPS,P/E Ratio,Market Cap (Cr)
SBI,Energy,2016,1851.68,391.22,21.07,0.89,24.88,26.72,31113.22
HDFC,Energy,2020,1670.94,129.7,24.78,0.95,17.5,25.38,21377.3
Tata Steel,IT,2023,1589.53,196.16,18.66,0.83,23.75,32.87,33839.13
Wipro,Energy,2015,1652.51,154.62,,0.6,19.17,20.74,63450.38
ICICI,Automobile,2022,1518.53,169.86,12.87,0.92,25.03,18.89,26269.01
Wipro,Metals,2018,1481.64,433.88,28.21,1.36,39.28,9.73,15245.23
SBI,Energy,2023,1932.77,162.98,22.53,0.64,26.48,26.79,42637.05
ICICI,Metals,2011,1968.87,268.09,20.0,1.06,27.01,24.27,41641.35
Tata Steel,Finance,2020,1457.5,181.17,17.17,0.85,39.24,16.04,43820.06
SBI,Finance,2016,1571.29,274.92,26.06,0.62,27.71,21.7,34206.65
TCS,Energy,2020,1524.5,156.47,17.2,1.07,29.34,19.93,22975.94
HDFC,Metals,2014,1016.49,220.49,9.44,1.03,26.44,21.23,31868.21
Tata Steel,Finance,2022,1399.07,250.3,19.33,0.97,21.15,18.08,23147.37
TCS,Energy,2016,1979.91,142.26,11.86,1.32,29.48,20.79,46137.19
Mahindra,Metals,2010,1275.07,420.62,19.34,1.35,42.02,9.37,42008.8
Tata Steel,Energy,2020,2134.36,254.48,24.72,0.82,11.79,17.16,11017.7
Mahindra,Metals,2020,1851.64,181.92,9.64,0.77,20.43,22.16,24678.37
ICICI,Finance,2019,1620.45,144.22,13.5,0.37,16.47,15.06,40038.24
TCS,Energy,2018,1668.25,207.34,22.32,1.26,17.59,22.72,15288.87
HDFC,Finance,2010,1224.84,102.72,15.5,0.78,37.23,34.46,30320.92
SBI,Energy,2023,1420.43,342.58,20.08,0.62,23.42,11.92,8894.19
Reliance,IT,2014,1932.42,234.5,20.09,0.52,32.23,7.17,25175.9
Wipro,Finance,2023,1315.64,192.96,22.45,0.52,18.33,28.44,29607.84
Infosys,Finance,2017,1818.34,283.68,14.77,1.33,18.55,34.65,15914.49
HDFC,Automobile,2010,1086.89,142.28,5.24,1.07,14.82,22.6,31550.22
TCS,Finance,2016,1140.55,107.52,19.98,0.35,39.45,20.04,36304.83
Reliance,Metals,2011,2070.42,189.59,10.15,0.37,32.75,15.48,18892.71
HDFC,Energy,2016,1496.45,210.2,22.68,0.84,14.49,23.77,38664.99
TCS,IT,2016,1338.45,242.45,17.79,0.5,36.42,19.89,42330.45
Axis Bank,Metals,2018,1908.82,81.9,16.52,0.72,22.4,25.95,27620.31
Axis Bank,Metals,2015,1873.75,163.49,21.45,1.27,29.53,8.01,8607.77
Mahindra,Metals,2013,1776.23,-46.68,9.29,1.12,25.47,22.29,22301.86
HDFC,Metals,2016,1329.03,105.41,17.0,0.29,10.63,14.16,33320.62
Axis Bank,IT,2016,1413.92,257.22,20.24,0.5,16.72,26.63,16141.83
TCS,Automobile,2013,1593.49,276.88,19.26,0.87,38.54,11.98,28072.25
Mahindra,Finance,2011,1708.32,108.64,15.56,1.14,34.39,24.41,19710.9
TCS,Metals,2022,1347.45,174.03,15.61,0.55,14.78,15.93,29796.77
Mahindra,Finance,2020,1551.22,202.05,25.72,0.91,27.08,16.96,27311.17
HDFC,Finance,2018,1580.22,286.25,22.56,0.66,22.85,25.95,29445.34
Reliance,Metals,2023,1886.03,322.33,,1.33,36.42,14.43,35814.18
SBI,Automobile,2017,1726.34,212.25,24.74,0.99,22.95,9.49,26695.08
Tata Steel,Finance,2014,1047.96,179.15,21.78,0.74,17.32,20.51,49901.57
Reliance,Energy,2023,1435.91,84.5,20.44,0.35,32.37,15.37,46902.62
ICICI,Finance,2014,1221.36,208.65,20.63,0.48,36.89,10.41,35331.04
TCS,Metals,2010,1670.43,365.99,12.27,0.04,28.94,22.45,35767.25
ICICI,IT,2020,1776.95,303.22,25.53,0.88,30.72,22.03,23361.45
Reliance,Finance,2018,1530.47,213.99,22.76,1.0,13.05,20.82,34450.71
Mahindra,Automobile,2020,1419.56,224.27,19.23,1.01,12.22,23.55,36480.53
Tata Steel,Energy,2023,1520.75,144.92,19.22,0.62,11.5,6.03,36705.92
Tata Steel,Energy,2019,1562.68,171.43,17.54,1.18,35.51,14.66,42566.21
Infosys,IT,2020,1307.97,211.81,15.16,1.28,21.13,21.94,34845.33
Tata Steel,IT,2017,1134.39,212.05,20.67,0.6,33.26,27.25,33835.76
SBI,Finance,2014,884.96,280.86,14.02,1.15,19.0,21.68,45271.77
Tata Steel,Metals,2019,1880.15,276.97,18.75,0.84,24.85,28.18,31195.59
Reliance,Automobile,2015,1648.91,241.65,18.49,0.64,16.94,15.26,22787.03
Infosys,Energy,2021,1608.75,120.07,19.93,1.17,21.72,15.7,36848.9
Reliance,IT,2019,1879.56,123.09,22.71,0.44,7.9,17.4,37922.05
Reliance,Automobile,2020,1123.36,128.97,20.02,0.35,21.82,19.42,25533.01
Wipro,Metals,2019,979.31,218.84,21.47,0.68,20.94,7.57,25525.91
Infosys,Energy,2017,1615.27,37.89,8.3,0.73,8.05,19.85,31577.8
Reliance,Energy,2015,1587.98,199.5,20.3,0.31,29.25,19.76,45315.49
Wipro,Metals,2019,980.61,312.69,18.38,0.95,30.74,15.71,24052.44
Wipro,Energy,2023,1607.86,253.35,19.86,0.57,18.38,14.62,13345.94
Infosys,Metals,2013,1379.93,171.94,15.35,0.41,12.95,21.9,12362.64
ICICI,Energy,2012,1257.87,144.14,23.75,0.99,42.3,24.12,14431.69
Mahindra,Finance,2016,1399.97,264.46,19.25,0.67,27.56,21.01,15782.82
SBI,Metals,2022,767.54,224.48,14.28,1.12,1.2,21.0,23672.96
Mahindra,Automobile,2011,1322.59,180.29,15.16,0.94,20.72,19.74,23764.8
Tata Steel,Finance,2016,1288.71,152.88,22.51,0.74,18.48,20.11,35946.18
SBI,Automobile,2010,1667.13,206.11,17.57,1.13,17.75,24.76,45133.96
Tata Steel,Energy,2022,1452.53,175.76,17.98,0.93,35.92,31.35,40624.16
Reliance,Automobile,2019,1691.66,,17.01,0.79,27.53,30.45,21480.45
TCS,Finance,2014,735.14,299.29,23.06,0.95,31.35,12.41,22839.48
Infosys,Metals,2018,1248.27,90.62,20.41,0.96,23.62,5.22,59755.78
SBI,IT,2022,1666.8,101.93,12.06,0.47,33.53,23.71,11839.95
SBI,Automobile,2022,1407.34,307.84,13.12,1.51,21.27,20.15,40972.38
Reliance,IT,2010,1753.64,213.27,18.02,0.82,27.33,19.58,19736.98
ICICI,Automobile,2017,958.62,109.47,14.78,0.83,29.87,22.67,39382.88
Wipro,Automobile,2018,1719.33,278.66,,0.27,18.77,18.29,44213.16
Reliance,Metals,2018,1308.26,227.33,14.27,0.84,4.03,8.66,32343.26
Axis Bank,Energy,2017,1279.14,376.26,16.61,0.85,8.07,12.01,42909.38
Wipro,Finance,2013,1797.31,181.18,16.0,0.46,48.12,12.44,69812.28
Infosys,Finance,2023,1848.57,288.7,21.6,0.49,31.51,24.67,13797.11
Wipro,Finance,2023,1810.41,84.09,6.83,0.53,31.98,33.2,42877.02
ICICI,Energy,2016,2111.59,311.68,14.14,0.71,39.21,16.71,44076.62
Wipro,IT,2010,1880.04,275.53,21.98,0.86,13.75,38.21,12804.11
Infosys,Finance,2016,1261.37,328.35,14.66,0.73,17.76,6.73,34425.12
ICICI,IT,2015,1542.49,288.85,11.94,0.89,13.95,16.45,28192.37
Mahindra,Energy,2014,1391.94,192.08,14.6,1.0,48.57,21.28,37833.47
SBI,Energy,2010,2108.73,106.31,20.23,0.96,15.02,2.14,32850.41
SBI,Metals,2017,1831.46,151.84,16.73,0.91,37.54,30.65,40291.16
Tata Steel,Finance,2019,1443.34,59.11,14.38,0.89,18.41,15.16,19575.95
Mahindra,Metals,2010,1763.37,126.33,20.41,0.89,25.85,20.24,56092.87
Mahindra,Finance,2010,1130.34,234.07,19.87,0.76,37.7,23.14,32617.02
Wipro,Energy,2023,1575.08,196.18,11.68,0.6,27.86,8.86,49733.23
SBI,Energy,2012,1218.62,182.11,18.47,0.77,23.68,37.03,35653.75
Infosys,Automobile,2022,993.42,136.55,11.5,1.0,47.68,20.94,46007.99
HDFC,Automobile,2017,1735.36,58.21,23.85,0.99,6.66,17.62,30515.65
HDFC,Energy,2017,1772.58,214.57,24.16,0.95,15.56,12.22,44833.11
ICICI,Energy,2023,1637.16,,16.56,0.66,21.9,21.43,18187.54
SBI,IT,2016,1445.11,120.67,23.32,0.74,35.44,8.97,42435.24
SBI,IT,2014,1120.09,157.32,14.22,0.74,19.96,20.97,21406.14
HDFC,Metals,2017,1151.6,323.37,17.3,0.62,34.68,29.78,28044.6
SBI,Automobile,2011,1209.22,292.76,15.08,1.07,7.78,28.16,17140.82
Wipro,Automobile,2017,1429.9,,17.88,0.25,36.48,16.11,22212.71
Axis Bank,Energy,2021,1822.85,193.23,18.33,1.41,33.94,18.05,26493.64
TCS,Energy,2020,1818.12,316.4,17.99,1.42,14.25,23.79,37369.62
Mahindra,Metals,2011,1005.43,182.69,17.55,0.82,24.66,28.27,34393.62
Tata Steel,Automobile,2019,1292.03,178.48,18.64,0.92,22.31,30.73,25534.12
ICICI,IT,2014,1283.95,287.42,24.28,1.05,29.5,31.41,37158.89
Axis Bank,Finance,2020,740.53,278.97,7.95,0.57,36.61,13.47,35820.92
HDFC,Metals,2022,1669.84,274.82,27.6,0.97,18.17,25.27,25969.14
Mahindra,Finance,2013,1426.15,179.04,16.25,1.2,28.69,10.32,25366.46
SBI,IT,2022,1466.06,253.03,17.61,0.26,27.46,16.76,25933.14
Tata Steel,IT,2010,1903.76,319.58,24.65,0.37,26.25,11.78,54439.37
SBI,Finance,2014,1526.49,196.01,,1.03,39.55,11.93,22425.5
Infosys,Metals,2016,1370.78,167.73,20.68,0.72,26.61,21.69,43258.74
Infosys,Finance,2010,1671.62,298.41,24.23,0.68,12.85,15.16,21011.03
Tata Steel,Metals,2011,1817.66,363.64,17.18,0.7,32.38,22.01,24875.69
Tata Steel,Metals,2021,1588.94,369.2,22.6,0.46,41.01,11.54,35774.51
HDFC,Energy,2023,1706.76,170.04,11.7,0.68,26.4,23.39,38193.66
Tata Steel,Automobile,2018,1456.33,178.08,20.09,0.4,38.52,16.99,34088.77
Wipro,Automobile,2021,1475.44,117.67,20.81,1.19,20.81,17.96,38518.69
SBI,IT,2014,1533.91,209.44,23.73,0.84,29.14,10.9,37780.77
Axis Bank,Energy,2023,1274.06,114.07,21.54,0.83,9.37,27.13,37552.41
Reliance,Automobile,2022,1329.58,157.87,19.02,1.0,18.9,20.98,23749.08
Tata Steel,Metals,2016,1913.36,256.09,16.41,1.64,26.69,23.78,26278.36
ICICI,Metals,2011,2102.39,231.2,16.36,0.48,31.7,11.06,30061.07
Infosys,Finance,2016,1977.66,55.14,16.4,0.25,29.37,24.73,43557.83
Wipro,Finance,2016,1103.02,325.62,11.51,0.79,37.8,20.29,38246.27
Mahindra,Metals,2016,1074.04,113.04,26.72,0.25,9.71,16.53,31286.12
Reliance,Metals,2014,1142.79,123.13,22.99,0.7,39.7,29.64,32187.08
Axis Bank,Finance,2018,1540.32,100.89,19.27,1.06,17.86,22.86,17219.23
Reliance,Automobile,2011,657.38,147.1,22.07,1.26,12.71,23.17,27069.6
Tata Steel,IT,2013,1323.36,128.26,21.77,0.33,35.37,6.25,24047.34
HDFC,Finance,2011,1922.13,130.21,13.04,0.52,13.88,27.57,40609.62
Infosys,Automobile,2017,1794.73,2.86,21.18,0.91,39.14,23.13,32528.93
Infosys,Automobile,2021,1347.27,210.39,24.35,1.03,3.18,28.66,44754.89
Mahindra,Automobile,2020,1369.99,218.57,14.61,1.04,17.44,15.85,57866.6
HDFC,Energy,2010,1670.17,379.55,10.33,1.24,33.77,15.01,40025.56
SBI,Energy,2018,1780.58,238.91,12.19,1.02,31.72,31.3,18782.87
TCS,Automobile,2021,1340.06,160.27,17.52,0.76,-1.34,26.71,27691.3
Wipro,Metals,2022,,103.94,11.9,1.12,18.36,10.0,10448.31
Infosys,Energy,2023,1330.2,192.3,17.14,0.82,7.84,20.11,51405.56
ICICI,Finance,2014,1100.6,235.9,14.73,0.88,26.39,27.16,57493.14
Infosys,Energy,2020,1434.08,159.73,18.0,0.65,25.51,21.25,18805.25
Reliance,Metals,2021,1411.22,204.88,15.45,0.85,22.52,16.15,25075.97
Infosys,IT,2012,1121.81,351.79,17.82,0.31,23.93,15.32,23234.7
Infosys,Energy,2021,1693.82,169.27,21.01,1.11,13.98,20.45,19878.09
TCS,Automobile,2020,1645.0,49.06,13.21,0.5,17.66,27.15,12476.93
TCS,Automobile,2013,1708.72,269.88,19.41,0.53,35.67,13.03,40223.18
Axis Bank,Automobile,2010,1269.58,225.15,13.74,0.1,20.1,5.06,17139.69
SBI,IT,2012,904.93,63.28,17.97,0.55,19.28,17.16,29978.58
ICICI,Metals,2020,1640.2,234.21,17.59,0.51,36.4,23.15,20632.68
Infosys,Finance,2017,1300.77,120.17,19.78,0.87,13.21,24.7,9507.23
Infosys,Metals,2021,1232.8,235.31,18.92,0.41,39.8,12.9,22536.19
Wipro,IT,2011,1122.88,352.58,24.19,0.67,40.65,21.89,12849.52
TCS,Automobile,2011,1417.4,185.84,17.87,0.6,14.84,15.53,30039.4
ICICI,Metals,2018,1973.2,286.66,14.86,0.27,34.21,25.15,37231.29
Mahindra,Finance,2014,1348.37,101.72,22.65,0.87,3.38,19.08,36955.2
Axis Bank,Automobile,2014,1173.06,78.45,19.65,0.73,26.02,25.87,33043.76
SBI,Finance,2010,1695.58,361.39,22.42,0.81,14.91,20.47,37785.98
HDFC,Energy,2022,1551.84,224.63,17.4,1.05,30.05,23.5,18749.49
SBI,Finance,2015,864.21,250.93,11.46,0.8,28.15,16.9,26239.91
Reliance,Automobile,2017,1698.7,292.16,29.22,0.7,22.23,15.03,26247.32
Infosys,Energy,2015,2138.54,157.77,14.99,1.08,14.07,18.01,12533.88
Axis Bank,Automobile,2023,719.84,266.01,12.2,0.7,34.17,24.32,20204.05
Reliance,Automobile,2016,1129.29,253.88,21.58,0.65,24.69,37.67,16716.3
ICICI,Energy,2023,645.44,96.42,13.27,1.0,17.93,28.82,28243.4
HDFC,Finance,2013,1477.41,321.04,16.04,0.57,19.87,30.64,36840.05
TCS,IT,2011,1797.12,304.55,18.62,1.15,24.04,19.27,24888.92
Axis Bank,IT,2010,1531.65,97.3,17.28,0.85,24.01,16.24,18483.74
Axis Bank,IT,2021,1917.6,216.02,16.18,1.27,28.1,4.57,31296.62
Infosys,IT,2015,1749.17,181.51,25.95,0.78,34.56,15.81,24869.64
Tata Steel,Metals,2018,2010.64,313.46,17.44,1.08,35.47,10.34,21775.38
Axis Bank,IT,2019,1848.06,87.15,13.5,0.31,22.74,25.38,48791.58
Wipro,Energy,2014,1379.12,488.19,22.88,1.18,29.25,18.62,42613.35
HDFC,IT,2021,1520.02,186.04,14.39,1.01,22.99,10.76,31728.64
HDFC,Automobile,2011,1239.4,259.08,17.45,0.61,37.13,23.83,23914.12
Wipro,IT,2010,1430.8,311.0,13.48,1.06,23.68,22.22,24658.84
Mahindra,Finance,2012,1518.55,184.32,19.06,0.42,26.21,12.06,20021.29
Wipro,Energy,2013,1474.53,190.8,18.2,0.65,24.74,30.59,21419.16
Wipro,Energy,2016,1902.68,159.77,17.85,0.54,29.61,14.73,28751.49
HDFC,Metals,2018,1400.95,129.16,18.75,1.08,31.31,24.18,292.37
SBI,Automobile,2017,1220.37,221.75,22.09,1.17,38.85,19.13,46850.79
HDFC,Energy,2018,1239.12,189.18,21.52,0.67,37.11,31.53,34778.78
Tata Steel,Finance,2016,1696.53,159.25,12.8,0.42,25.43,26.45,19625.37
Infosys,IT,2019,1079.06,163.92,14.63,0.51,24.57,12.31,47250.36
Reliance,Energy,2017,1439.64,246.1,22.62,0.83,22.75,32.74,37583.27
SBI,Finance,2017,1898.25,136.19,14.09,0.81,35.08,11.13,39279.58
TCS,IT,2010,1587.78,180.24,20.46,0.7,27.45,12.58,25865.66
Reliance,Metals,2021,1477.62,271.89,22.2,0.55,49.62,31.36,36313.96
Infosys,Energy,2023,1489.23,219.78,9.79,1.29,24.36,19.81,9917.48
Tata Steel,Energy,2021,1191.13,116.04,15.97,0.61,40.21,22.19,33775.02
Tata Steel,Finance,2018,1242.86,198.09,22.08,0.55,40.3,22.96,25792.16
TCS,Automobile,2011,1441.45,234.96,17.27,1.14,40.04,12.46,41453.02
SBI,Metals,2021,1581.38,279.14,15.98,0.72,21.7,33.16,25439.9
Mahindra,Automobile,2020,1784.45,139.57,22.16,0.95,24.16,35.36,23310.82
Wipro,Energy,2023,1527.77,155.32,23.52,0.54,23.38,6.92,44161.34
SBI,Automobile,2016,1905.83,144.39,14.61,0.95,39.74,16.85,43397.79
Mahindra,IT,2022,1981.56,148.36,26.84,1.02,20.5,24.76,39381.64
Tata Steel,Metals,2019,1738.58,232.4,9.08,0.47,19.22,19.22,35331.83
HDFC,Automobile,2019,1867.49,247.56,10.46,0.64,31.94,16.2,38229.71
Infosys,IT,2022,1202.79,284.07,15.73,0.53,11.72,23.93,27072.8
TCS,Finance,2014,1155.24,192.71,16.33,0.64,32.68,24.62,19593.79
Infosys,Automobile,2013,1655.39,87.57,16.56,1.28,13.59,31.84,33912.57
ICICI,Metals,2010,1097.64,253.56,15.33,0.88,20.88,7.86,9294.74
ICICI,IT,2010,1412.89,212.73,,1.38,36.55,12.94,45950.84
SBI,Automobile,2012,1731.36,204.8,16.9,1.24,19.44,14.72,28843.52
Tata Steel,Finance,2023,1924.01,97.33,15.05,1.14,28.07,36.78,28051.05
Tata Steel,Automobile,2010,1423.74,184.33,21.41,1.24,37.09,30.57,18779.76
Wipro,IT,2017,1305.02,104.51,18.15,1.15,13.61,21.93,45719.56
Wipro,Automobile,2012,1596.14,,16.89,1.31,26.73,19.41,38515.49
Wipro,Metals,2020,1177.94,165.61,17.64,0.96,31.47,23.09,33029.96
HDFC,Energy,2019,1448.02,158.44,23.57,1.01,10.8,28.22,36608.06
Reliance,IT,2011,1497.6,77.03,15.58,1.0,14.62,18.23,31317.61
Axis Bank,IT,2015,1491.6,282.17,11.63,0.67,41.16,21.92,40014.08
Reliance,IT,2013,1526.55,179.31,13.11,1.05,13.54,17.64,25829.81
Infosys,IT,2022,1249.65,206.96,16.83,1.18,21.5,10.23,30256.0
Reliance,Automobile,2022,1281.9,141.16,20.41,0.62,4.84,7.47,36576.34
HDFC,Metals,2023,1275.87,67.95,22.4,0.54,17.14,15.16,13140.21
Infosys,Finance,2020,1013.97,157.47,26.24,0.63,32.76,17.39,14579.47
Reliance,Metals,2023,1602.55,170.28,21.7,1.21,34.59,23.06,52075.32
HDFC,IT,2022,1768.4,223.42,13.59,0.73,32.94,21.88,19593.61
Axis Bank,Automobile,2020,1738.89,171.6,16.98,0.47,24.65,10.26,48346.59
Reliance,Automobile,2022,1421.25,142.53,7.18,0.49,14.25,20.07,25719.3
HDFC,IT,2013,1256.7,79.73,16.44,0.53,29.14,16.18,16815.41
Wipro,Automobile,2011,1723.29,203.88,14.97,0.59,20.58,18.25,44358.17
Tata Steel,IT,2011,1691.68,136.28,6.43,0.38,8.92,20.56,37307.18
Wipro,Metals,2020,1565.23,305.66,28.54,0.98,25.29,28.97,38664.48
Tata Steel,Energy,2015,2023.29,212.01,16.11,0.74,37.7,16.78,15768.58
TCS,Automobile,2014,1492.07,244.97,7.46,0.96,36.1,31.75,35363.93
TCS,IT,2018,1422.93,180.1,16.63,0.11,36.78,10.9,-6482.79
TCS,IT,2013,1380.05,216.1,26.25,1.12,28.03,13.86,34770.71
Axis Bank,Automobile,2014,1031.74,128.74,27.54,0.78,15.7,19.33,19272.92
Wipro,Finance,2010,1698.4,105.74,18.29,0.95,30.87,11.82,47163.78
Tata Steel,IT,2021,1468.35,201.21,18.48,1.26,26.51,10.76,41235.61
HDFC,Automobile,2021,1652.98,245.63,24.13,0.91,22.43,20.51,32216.03
Infosys,IT,2011,2052.56,44.34,17.25,1.43,31.67,10.73,42956.39
HDFC,Finance,2012,1382.77,160.07,20.3,0.24,29.57,13.28,58750.87
Infosys,Energy,2014,798.6,347.37,22.2,0.7,18.8,19.42,29396.65
ICICI,Finance,2021,1644.32,238.34,12.62,0.26,18.34,31.92,34136.41
HDFC,Metals,2014,1550.06,323.01,25.68,0.89,13.47,18.66,15051.61
Reliance,Automobile,2013,1280.26,149.28,13.6,0.82,27.57,20.91,19608.72
Reliance,Finance,2023,1619.18,163.37,14.83,0.47,34.07,11.95,19013.6
SBI,Energy,2019,1735.83,277.34,18.5,1.45,19.09,12.66,30630.91
Wipro,IT,2012,1216.02,249.88,22.7,0.69,14.34,3.95,34515.26
Infosys,Automobile,2018,1409.6,192.45,21.39,0.14,30.03,13.11,21878.93
Infosys,Finance,2010,1943.03,,17.75,1.0,40.79,25.35,33421.52
Wipro,Energy,2015,1283.51,292.55,19.42,1.01,44.9,15.98,41992.77
Axis Bank,Finance,2016,1520.0,400.82,23.37,0.66,40.15,21.06,32168.0
SBI,Metals,2019,712.68,74.25,18.04,1.04,24.51,21.56,43099.57
Axis Bank,Automobile,2013,1055.45,312.29,13.94,0.51,15.99,25.15,8958.0
Axis Bank,IT,2019,1547.26,162.54,14.99,0.67,31.08,31.62,11031.3
Axis Bank,Energy,2012,1868.4,173.32,22.55,0.92,24.29,24.25,37619.92
Wipro,Finance,2017,1091.39,221.57,13.94,1.08,23.01,18.33,32954.6
Axis Bank,Automobile,2018,1522.37,103.56,10.16,0.73,44.01,25.58,30975.02
Reliance,Finance,2022,1387.28,197.03,16.48,0.66,38.85,22.13,31394.57
TCS,Automobile,2010,1785.93,71.1,17.62,0.79,31.37,4.33,16406.61
ICICI,Metals,2020,1134.66,238.09,22.3,0.19,24.04,11.6,9534.75
Infosys,Finance,2021,1629.02,378.7,10.71,0.72,25.08,18.43,41180.7
Infosys,Metals,2019,1303.89,148.84,19.73,0.21,9.56,15.9,43176.07
ICICI,Energy,2018,,186.5,23.76,0.55,35.46,19.14,21799.25
Wipro,Metals,2016,1520.68,190.44,13.91,0.37,37.97,3.01,4610.73
HDFC,Automobile,2010,1424.47,278.92,18.41,0.96,17.36,25.89,28363.64
Wipro,Energy,2016,1643.34,232.45,7.25,0.58,18.72,19.65,21873.09
Infosys,Finance,2014,1513.1,273.63,22.37,1.17,34.75,28.51,39972.08
Infosys,Finance,2019,1460.16,159.5,21.98,0.25,21.76,20.18,18515.41
ICICI,Automobile,2022,1393.08,234.69,17.9,0.73,36.36,21.41,38572.12
Axis Bank,IT,2022,1523.28,-69.42,11.36,0.83,17.18,12.75,31282.16
Wipro,IT,2016,1566.61,253.4,21.33,0.95,21.88,11.56,45650.76
Tata Steel,Finance,2021,1203.26,102.58,16.78,1.45,30.19,20.93,36701.75
ICICI,Automobile,2018,1395.16,173.79,4.1,0.21,21.76,20.02,25299.6
Reliance,IT,2017,1183.44,259.62,21.89,0.57,21.18,8.51,34485.38
Infosys,Metals,2015,1488.05,77.11,23.82,1.4,20.96,26.58,30113.81
ICICI,Finance,2011,1322.3,287.15,24.7,0.52,31.95,20.35,11713.87
Wipro,Metals,2017,1731.23,190.06,11.61,0.93,34.63,16.46,37345.14
Infosys,Automobile,2021,1701.82,316.25,8.42,0.52,29.93,13.91,29450.28
HDFC,Metals,2023,1223.18,127.77,15.95,0.38,18.02,25.3,4454.29
ICICI,IT,2013,1499.31,54.98,20.59,0.56,38.68,15.13,12711.97
SBI,IT,2017,1691.55,197.68,13.29,1.39,27.55,21.65,23236.38
Infosys,Energy,2016,1447.41,246.97,10.04,0.45,35.51,18.82,40514.08
Wipro,Finance,2013,1281.53,253.67,21.62,0.71,12.1,16.29,22356.12
TCS,Automobile,2017,1172.28,109.16,16.27,0.72,36.68,10.91,38980.91
Tata Steel,Finance,2020,1756.28,70.03,21.11,1.07,21.28,29.11,39499.13
Mahindra,Metals,2020,1770.81,175.01,18.08,1.14,20.58,12.96,27820.79
Axis Bank,Automobile,2021,1437.62,241.32,17.17,0.83,29.05,13.97,39173.33
Mahindra,Automobile,2020,1729.84,237.26,17.68,-0.16,4.49,29.37,29421.64
Wipro,IT,2011,610.44,325.77,16.21,0.53,28.5,19.29,21070.92
Reliance,Metals,2018,1898.27,170.12,15.71,0.44,22.23,22.24,27359.28
Reliance,IT,2015,1452.92,52.41,12.49,1.15,39.14,30.6,20651.13
TCS,IT,2016,1542.53,295.73,20.42,0.52,27.71,30.43,39762.62
Axis Bank,Energy,2019,1403.84,215.62,24.24,1.31,15.07,16.16,35687.07
SBI,IT,2010,1918.71,222.58,15.5,0.92,16.99,28.06,48557.0
TCS,Finance,2012,1181.78,261.37,27.33,1.14,0.41,8.78,29258.54
Mahindra,Automobile,2023,1942.34,301.09,19.88,1.48,49.29,7.69,34747.13
TCS,IT,2019,1618.88,198.16,19.29,0.52,-0.04,20.31,33685.37
Mahindra,Finance,2014,1686.8,294.12,21.28,0.31,19.59,19.41,36501.97
Infosys,Metals,2021,1401.24,244.17,22.88,0.86,32.41,24.53,35372.0
Reliance,Automobile,2016,1107.53,147.55,15.73,1.09,39.68,23.8,21019.4
Infosys,Metals,2010,1779.15,181.34,20.77,0.6,43.04,24.84,31699.79
